transaction_id,payment_model,payment_model_bg,amount,is_cross_border,has_currency_conversion,cost,latency,is_failed,risk_probability,expected_loss,status
1,e_wallet,Електронен портфейл,13.68,False,False,0.3115,2.6918,False,0.02182,0.1194,success
2,bank_transfer,Банков превод,64.14,False,False,0.6424,9.7859,False,0.01587,0.3563,success
3,e_wallet,Електронен портфейл,18.56,False,False,0.3798,2.7457,False,0.02703,0.2007,success
4,e_wallet,Електронен портфейл,23.44,False,False,0.4482,2.297,False,0.02799,0.2624,success
5,bank_transfer,Банков превод,52.55,False,False,0.6077,10.5348,False,0.01615,0.297,success
6,e_wallet,Електронен портфейл,56.63,False,False,0.9128,3.0853,False,0.02982,0.6755,success
7,instant_payment,Незабавно плащане,24.91,False,False,0.3495,2.0096,False,0.01965,0.1713,success
8,e_wallet,Електронен портфейл,12.64,True,True,0.6666,2.8517,False,0.04904,0.2479,success
9,card_payment,Картово плащане,24.32,True,False,0.7378,3.358,False,0.04701,0.5145,success
10,bank_transfer,Банков превод,30.95,False,False,0.5429,9.3369,False,0.02071,0.2243,success
11,e_wallet,Електронен портфейл,61.98,False,False,0.9877,2.1132,False,0.02698,0.6689,success
12,card_payment,Картово плащане,9.69,False,False,0.2744,3.0274,False,0.03588,0.1565,success
13,card_payment,Картово плащане,105.14,False,False,1.9925,2.9522,False,0.03125,1.4785,success
14,instant_payment,Незабавно плащане,27.42,False,False,0.3645,2.7692,False,0.0165,0.1584,success
15,bank_transfer,Банков превод,41.58,False,False,0.5747,10.3975,False,0.01155,0.1681,success
16,card_payment,Картово плащане,21.9,False,False,0.4942,3.0012,False,0.0315,0.3104,success
17,instant_payment,Незабавно плащане,202.19,False,False,1.4131,2.0961,False,0.02075,1.4684,success
18,card_payment,Картово плащане,22.49,False,False,0.5048,2.9902,False,0.0406,0.4109,success
19,e_wallet,Електронен портфейл,23.35,False,False,0.4469,2.2447,False,0.03228,0.3015,success
20,card_payment,Картово плащане,23.91,False,False,0.5304,3.0517,False,0.03675,0.3954,success
21,card_payment,Картово плащане,35.77,False,False,0.7439,2.7248,False,0.03926,0.6319,success
22,e_wallet,Електронен портфейл,33.99,True,False,0.7759,2.9685,False,0.03478,0.4729,success
23,card_payment,Картово плащане,40.7,False,False,0.8326,3.7213,False,0.03453,0.6324,success
24,bank_transfer,Банков превод,20.04,True,True,1.0605,9.5117,False,0.04618,0.3239,success
25,bank_transfer,Банков превод,15.72,False,False,0.4972,9.0419,False,0.02688,0.1479,success
26,card_payment,Картово плащане,24.22,False,False,0.536,3.4811,False,0.03487,0.38,success
27,card_payment,Картово плащане,27.05,True,True,1.1115,3.1992,False,0.05745,0.6993,success
28,e_wallet,Електронен портфейл,43.34,True,True,1.5569,2.4279,False,0.04877,0.8455,success
29,open_banking,Open Banking плащане,7.52,False,False,0.2176,4.3339,False,0.02971,0.0849,success
30,instant_payment,Незабавно плащане,37.7,False,False,0.4262,1.9126,False,0.02194,0.2895,success
31,card_payment,Картово плащане,8.99,False,False,0.2618,3.6457,False,0.04208,0.1702,success
32,bank_transfer,Банков превод,48.1,False,False,0.5943,9.8066,False,0.01109,0.1867,success
33,instant_payment,Незабавно плащане,28.16,False,False,0.369,2.121,False,0.0184,0.1814,success
34,instant_payment,Незабавно плащане,56.93,False,False,0.5416,2.1732,False,0.02338,0.4659,success
35,bank_transfer,Банков превод,42.89,False,False,0.5787,11.2574,False,0.02162,0.3245,success
36,instant_payment,Незабавно плащане,68.01,False,False,0.6081,2.2308,False,0.02054,0.4889,success
37,card_payment,Картово плащане,45.87,False,False,0.9257,2.7535,False,0.03914,0.8079,success
